,iid,gender,age,wave,field,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,attr_o,sinc_o,intel_o,fun_o,amb_o,age_o,like_o,match,dec_o,attr,sinc,intel,fun,amb,like,match_es,dec,you_call,them_cal
280,282,M,23.0,11,Electrical Engineering,African American,1.0,1.0,Fun,4.0,3.0,enterpreneur,10.0,10.0,10.0,5.0,4.0,4.0,4.0,7.0,8.0,9.0,5.0,7.0,7.0,7.0,10.0,5.0,1.0,,25.0,15.0,20.0,20.0,10.0,25.0,15.0,20.0,10.0,20.0,10.0,25.0,15.0,20.0,10.0,20.0,10.0,7.0,9.0,7.0,9.0,10.0,7.0,10.0,9.0,9.0,10.0,35.0,10.0,15.0,20.0,5.0,7.0,7.0,7.0,7.0,7.0,6.476190476190476,7.0476190476190474,6.857142857142857,7.142857142857143,6.3,26.0,6.190476190476191,7,8,7.666666666666667,7.6,7.714285714285714,7.142857142857143,7.5,7.428571428571429,10.0,19,,
281,283,M,27.0,11,Electrical Engg.,Asian,1.0,1.0,Fun,4.0,2.0,Industry CTO/CEO,9.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,6.0,8.0,1.0,5.0,3.0,3.0,7.0,2.0,7.0,,50.0,10.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,30.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,30.0,10.0,30.0,10.0,10.0,7.0,4.0,7.0,7.0,7.0,5.1,7.2,7.1,5.7,6.2,26.0,5.6,2,3,8.19047619047619,8.047619047619047,8.285714285714286,8.238095238095237,8.428571428571429,7.571428571428571,1.0,18,,
282,284,M,27.0,11,Business School,Caucasian,1.0,5.0,Fun,5.0,2.0,Film/Television,9.0,2.0,5.0,7.0,7.0,9.0,8.0,1.0,5.0,9.0,5.0,5.0,9.0,8.0,9.0,8.0,5.0,,25.0,20.0,25.0,20.0,10.0,25.0,15.0,20.0,20.0,5.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,7.0,6.0,8.0,7.0,7.0,7.0,5.0,6.0,7.0,8.0,25.0,15.0,20.0,20.0,20.0,8.0,5.0,7.0,7.0,7.0,5.809523809523809,6.761904761904762,7.0476190476190474,5.9523809523809526,6.1,26.0,6.0,1,7,5.666666666666667,6.333333333333333,7.0,5.761904761904762,5.5,6.0476190476190474,2.0,5,1.0,1.0
283,285,M,24.0,11,engineering,Other,1.0,1.0,Relationship,6.0,6.0,finance or engineering,5.0,7.0,6.0,10.0,9.0,10.0,9.0,14.0,5.0,9.0,7.0,3.0,10.0,10.0,10.0,10.0,10.0,,20.0,20.0,25.0,25.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,20.0,20.0,25.0,25.0,5.0,5.0,8.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,8.0,10.0,30.0,20.0,10.0,10.0,20.0,9.0,9.0,9.0,9.0,9.0,4.571428571428571,6.714285714285714,7.0,4.619047619047619,6.142857142857143,26.0,5.380952380952381,2,2,6.666666666666667,6.666666666666667,6.666666666666667,6.619047619047619,6.571428571428571,6.595238095238095,5.0,21,,
284,286,M,22.0,11,Mathematics,Caucasian,4.0,7.0,Fun,6.0,3.0,professor,7.0,3.0,4.0,3.0,8.0,7.0,9.0,9.0,4.0,8.0,6.0,8.0,7.0,8.0,6.0,3.0,8.0,,10.0,15.0,25.0,15.0,15.0,20.0,10.0,15.0,15.0,15.0,25.0,15.0,15.0,20.0,15.0,20.0,15.0,3.0,6.0,7.0,6.0,7.0,3.0,5.0,8.0,5.0,6.0,13.0,13.0,24.0,15.0,15.0,4.0,8.0,7.0,8.0,9.0,4.809523809523809,6.714285714285714,6.904761904761905,5.0476190476190474,6.1,26.0,5.0476190476190474,0,0,7.333333333333333,7.25,8.05,7.25,7.875,4.904761904761905,3.0,10,,
285,287,M,22.0,11,International Politics,Asian,1.0,1.0,Fun,7.0,3.0,Writing,2.0,1.0,5.0,7.0,2.0,2.0,9.0,6.0,4.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0,,35.0,40.0,5.0,5.0,7.0,25.0,25.0,5.0,25.0,5.0,15.0,18.0,20.0,10.0,25.0,7.0,20.0,7.0,10.0,7.0,5.0,10.0,7.0,8.0,7.0,4.0,10.0,20.0,12.0,12.0,20.0,11.0,8.0,8.0,8.0,8.0,8.0,4.35,4.85,6.15,4.2,6.05,26.0,4.15,0,0,7.0476190476190474,7.333333333333333,7.0476190476190474,6.666666666666667,5.857142857142857,6.690476190476191,9.0,17,,
286,288,M,27.0,11,Sociology,Caucasian,3.0,5.0,Fun,6.0,3.0,professor,9.0,5.0,3.0,8.0,5.0,5.0,6.0,4.0,4.0,9.0,2.0,6.0,7.0,5.0,7.0,2.0,2.0,,20.0,20.0,15.0,25.0,10.0,40.0,5.0,10.0,20.0,5.0,20.0,30.0,20.0,5.0,25.0,10.0,10.0,5.0,8.0,8.0,7.0,7.0,5.0,8.0,7.0,6.0,6.0,35.0,15.0,20.0,20.0,5.0,4.0,7.0,5.0,4.0,7.0,6.0,6.809523809523809,7.095238095238095,6.142857142857143,6.55,26.0,6.095238095238095,4,10,4.619047619047619,5.761904761904762,5.380952380952381,4.904761904761905,4.809523809523809,4.857142857142857,1.0,5,0.0,4.0
287,289,M,28.0,11,MBA / Master of International Affairs (SIPA),Asian,1.0,2.0,Fun,4.0,1.0,Venture Capital/Consulting/Government,10.0,6.0,1.0,7.0,3.0,6.0,10.0,5.0,3.0,10.0,6.0,5.0,7.0,6.0,8.0,2.0,1.0,,20.0,30.0,10.0,20.0,0.0,70.0,5.0,5.0,20.0,0.0,0.0,30.0,20.0,15.0,15.0,20.0,0.0,4.0,9.0,8.0,10.0,8.0,4.0,6.0,8.0,9.0,10.0,15.0,25.0,10.0,20.0,10.0,3.0,9.0,9.0,8.0,9.0,6.095238095238095,7.0476190476190474,7.190476190476191,7.380952380952381,6.65,26.0,6.666666666666667,5,12,6.095238095238095,6.142857142857143,6.571428571428571,5.142857142857143,5.476190476190476,5.666666666666667,2.0,9,5.0,0.0
288,290,M,34.0,11,genetics,Caucasian,2.0,6.0,Meet people,5.0,2.0,research,7.0,1.0,8.0,7.0,7.0,4.0,3.0,2.0,1.0,10.0,1.0,3.0,5.0,9.0,10.0,2.0,5.0,,30.0,10.0,30.0,10.0,5.0,30.0,30.0,10.0,20.0,5.0,5.0,15.0,5.0,20.0,30.0,25.0,5.0,5.0,4.0,10.0,5.0,9.0,5.0,7.0,10.0,5.0,7.0,30.0,10.0,30.0,10.0,5.0,5.0,4.0,10.0,5.0,9.0,6.571428571428571,6.333333333333333,7.523809523809524,5.380952380952381,6.380952380952381,26.0,5.857142857142857,2,7,4.809523809523809,6.0476190476190474,6.904761904761905,5.714285714285714,5.761904761904762,4.666666666666667,2.0,7,,
289,291,M,27.0,11,medicine and biochemistry,Asian,5.0,5.0,Fun,3.0,2.0,doctor and entrepreneur,9.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,5.0,8.0,5.0,5.0,,20.0,20.0,15.0,15.0,12.0,30.0,10.0,10.0,20.0,10.0,20.0,30.0,15.0,20.0,20.0,5.0,10.0,6.0,9.0,9.0,7.0,9.0,6.0,9.0,9.0,7.0,8.0,20.0,15.0,15.0,20.0,10.0,7.0,9.0,9.0,7.0,9.0,5.095238095238095,7.095238095238095,8.142857142857142,6.095238095238095,7.857142857142857,26.0,6.285714285714286,5,5,5.761904761904762,8.476190476190476,7.904761904761905,6.904761904761905,6.238095238095238,6.333333333333333,5.0,20,,
290,292,M,28.0,11,International Affairs,African American,7.0,1.0,Fun,2.0,1.0,Int l Business,10.0,5.0,8.0,8.0,7.0,5.0,10.0,7.0,9.0,7.0,4.0,7.0,9.0,5.0,10.0,1.0,1.0,,20.0,18.0,20.0,17.0,10.0,30.0,13.0,12.0,20.0,10.0,15.0,10.0,21.0,22.0,15.0,15.0,17.0,8.0,10.0,10.0,8.0,10.0,10.0,7.0,10.0,6.0,9.0,20.0,15.0,20.0,20.0,10.0,9.0,10.0,10.0,9.0,10.0,7.333333333333333,6.9523809523809526,7.380952380952381,6.619047619047619,7.0476190476190474,26.0,6.809523809523809,4,8,6.333333333333333,9.619047619047619,7.761904761904762,5.619047619047619,6.238095238095238,6.142857142857143,6.0,9,,
291,293,M,28.0,11,Business (MBA),Hispanic,3.0,7.0,Meet people,5.0,2.0,Pharmaceuticals/Consulting,6.0,9.0,7.0,10.0,8.0,7.0,6.0,6.0,8.0,9.0,6.0,9.0,9.0,8.0,8.0,6.0,4.0,,23.0,18.0,21.0,18.0,10.0,30.0,15.0,15.0,20.0,10.0,10.0,15.0,25.0,20.0,15.0,15.0,10.0,7.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,9.0,25.0,15.0,20.0,15.0,15.0,7.0,9.0,9.0,8.0,9.0,5.619047619047619,6.571428571428571,6.761904761904762,5.380952380952381,6.904761904761905,26.0,5.476190476190476,2,6,5.761904761904762,6.904761904761905,6.904761904761905,6.0476190476190474,5.571428571428571,5.619047619047619,3.0,5,,
292,294,F,30.0,12,Social Studies Education,Asian,1.0,1.0,Fun,6.0,2.0,Secondary Education Teacher,7.0,8.0,4.0,9.0,10.0,10.0,1.0,1.0,7.0,10.0,3.0,10.0,9.0,7.0,8.0,8.0,5.0,,20.0,20.0,35.0,5.0,10.0,35.0,10.0,25.0,10.0,10.0,10.0,35.0,20.0,10.0,20.0,10.0,5.0,9.0,10.0,9.0,7.0,7.0,9.0,10.0,10.0,5.0,7.0,,,,,,,,,,,7.857142857142857,7.642857142857143,8.285714285714286,7.071428571428571,6.928571428571429,28.357142857142858,7.285714285714286,1,9,5.214285714285714,7.714285714285714,7.428571428571429,6.285714285714286,7.285714285714286,6.642857142857143,1.0,1,,
293,295,F,30.0,12,MA Teaching Social Studies,Caucasian,5.0,7.0,Meet people,6.0,1.0,High School Social Studies Teacher,7.0,8.0,8.0,5.0,7.0,5.0,3.0,1.0,2.0,10.0,7.0,10.0,10.0,8.0,8.0,5.0,8.0,,10.0,18.0,20.0,16.0,16.0,24.0,16.0,14.0,18.0,20.0,8.0,22.0,20.0,14.0,18.0,8.0,18.0,7.0,10.0,8.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,,,,,,,,,,,5.571428571428571,6.928571428571429,6.785714285714286,5.857142857142857,5.6923076923076925,28.357142857142858,5.642857142857143,0,2,5.857142857142857,7.785714285714286,8.375,6.785714285714286,6.666666666666667,6.642857142857143,2.0,6,0.0,0.0
294,296,F,28.0,12,Education Policy,Caucasian,10.0,10.0,Fun,4.0,2.0,Education Policy Analyst,4.0,5.0,2.0,8.0,8.0,7.0,6.0,5.0,9.0,9.0,9.0,8.0,7.0,8.0,10.0,9.0,7.0,,15.0,20.0,35.0,15.0,5.0,50.0,0.0,5.0,25.0,0.0,20.0,50.0,0.0,10.0,30.0,0.0,10.0,8.0,9.0,10.0,6.0,9.0,6.0,9.0,10.0,6.0,8.0,,,,,,,,,,,5.214285714285714,7.428571428571429,7.785714285714286,5.928571428571429,7.071428571428571,28.357142857142858,6.142857142857143,3,5,6.642857142857143,6.785714285714286,7.0,5.785714285714286,5.071428571428571,5.428571428571429,4.0,6,3.0,3.0
295,297,F,21.0,12,Education- Literacy Specialist,Caucasian,9.0,8.0,Meet people,2.0,1.0,Literacy Organization head/ Director of Development for non-profit,5.0,2.0,8.0,8.0,10.0,10.0,3.0,3.0,5.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,6.0,,25.0,25.0,15.0,15.0,10.0,40.0,10.0,10.0,15.0,10.0,15.0,40.0,10.0,10.0,15.0,10.0,15.0,8.0,10.0,8.0,9.0,9.0,8.0,10.0,8.0,9.0,9.0,,,,,,,,,,,7.214285714285714,7.357142857142857,6.571428571428571,6.571428571428571,6.0,28.357142857142858,7.071428571428571,4,8,5.0,7.571428571428571,7.571428571428571,6.785714285714286,8.428571428571429,6.071428571428571,9.0,6,0.0,2.0
296,298,F,22.0,12,English,Caucasian,7.0,1.0,Meet people,6.0,2.0,English Teacher,3.0,1.0,3.0,5.0,10.0,10.0,3.0,1.0,4.0,10.0,5.0,10.0,10.0,10.0,10.0,9.0,7.0,,10.0,30.0,20.0,10.0,15.0,30.0,30.0,20.0,10.0,5.0,5.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,9.0,10.0,7.0,10.0,10.0,9.0,10.0,,,,,,,,,,,5.785714285714286,7.214285714285714,7.071428571428571,5.928571428571429,5.571428571428571,28.357142857142858,6.0,0,3,7.285714285714286,7.857142857142857,8.071428571428571,7.071428571428571,7.714285714285714,7.285714285714286,3.0,7,,
297,299,F,24.0,12,Social Work,Asian,1.0,1.0,Meet people,6.0,2.0,Program development / policy work,7.0,1.0,7.0,8.0,9.0,8.0,9.0,4.0,9.0,9.0,6.0,7.0,9.0,7.0,9.0,5.0,4.0,,10.0,40.0,10.0,20.0,10.0,10.0,10.0,30.0,10.0,10.0,30.0,40.0,10.0,10.0,10.0,10.0,20.0,6.0,9.0,8.0,9.0,9.0,6.0,9.0,8.0,9.0,8.0,,,,,,,,,,,5.785714285714286,7.714285714285714,7.428571428571429,6.785714285714286,6.071428571428571,28.357142857142858,6.142857142857143,1,5,7.785714285714286,8.571428571428571,8.857142857142858,8.0,8.071428571428571,7.714285714285714,2.0,4,,
298,300,F,35.0,12,Anthropology/Education,Caucasian,1.0,1.0,Meet people,6.0,2.0,Researcher,8.0,2.0,8.0,9.0,10.0,10.0,7.0,2.0,5.0,8.0,2.0,10.0,8.0,8.0,10.0,4.0,2.0,,15.0,20.0,25.0,15.0,15.0,15.0,20.0,20.0,20.0,15.0,10.0,40.0,5.0,10.0,20.0,5.0,20.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,10.0,,,,,,,,,,,5.642857142857143,6.785714285714286,7.142857142857143,5.714285714285714,5.769230769230769,28.357142857142858,5.5,2,3,7.714285714285714,9.5,9.714285714285714,8.785714285714286,8.642857142857142,7.785714285714286,6.0,7,,
299,301,F,34.0,12,bilingual education,Caucasian,3.0,8.0,Meet people,4.0,1.0,professor of education,5.0,3.0,9.0,10.0,7.0,8.0,5.0,1.0,5.0,9.0,5.0,9.0,10.0,9.0,9.0,5.0,9.0,,20.0,20.0,20.0,20.0,10.0,40.0,5.0,20.0,20.0,10.0,5.0,40.0,5.0,20.0,20.0,10.0,5.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,,,,,,,,,,,6.142857142857143,7.5,8.071428571428571,6.5,7.0,28.357142857142858,6.214285714285714,2,4,5.785714285714286,6.785714285714286,8.214285714285714,5.357142857142857,7.785714285714286,5.571428571428571,4.0,6,,
300,302,F,21.0,12,speech pathology,Caucasian,8.0,7.0,Meet people,3.0,1.0,speech pathologist,10.0,10.0,9.0,7.0,5.0,6.0,6.0,6.0,8.0,5.0,7.0,7.0,7.0,9.0,9.0,6.0,6.0,,50.0,5.0,20.0,10.0,5.0,75.0,5.0,10.0,5.0,5.0,0.0,70.0,5.0,5.0,15.0,0.0,5.0,8.0,8.0,8.0,8.0,10.0,8.0,7.0,8.0,9.0,9.0,,,,,,,,,,,5.071428571428571,5.642857142857143,5.714285714285714,6.285714285714286,5.857142857142857,28.357142857142858,5.357142857142857,0,0,5.928571428571429,8.461538461538462,7.888888888888889,6.714285714285714,7.777777777777778,5.214285714285714,4.0,4,0.0,0.0
301,303,F,33.0,12,Education,Caucasian,2.0,1.0,Relationship,5.0,1.0,Educator,7.0,1.0,9.0,9.0,9.0,7.0,7.0,1.0,1.0,10.0,2.0,9.0,9.0,8.0,9.0,5.0,1.0,,20.0,25.0,25.0,10.0,15.0,25.0,15.0,20.0,20.0,15.0,5.0,40.0,10.0,15.0,25.0,5.0,5.0,8.0,10.0,8.0,9.0,6.0,8.0,10.0,9.0,8.0,7.0,,,,,,,,,,,7.214285714285714,7.142857142857143,7.642857142857143,6.857142857142857,6.285714285714286,28.357142857142858,6.928571428571429,1,8,5.714285714285714,7.0,7.714285714285714,6.5,7.642857142857143,6.214285714285714,1.0,1,1.0,1.0
302,304,F,28.0,12,Speech Pathology,Caucasian,1.0,10.0,Fun,7.0,2.0,Speech Pathologist,10.0,1.0,8.0,7.0,7.0,8.0,2.0,1.0,4.0,8.0,1.0,8.0,9.0,7.0,7.0,8.0,9.0,,5.0,20.0,25.0,25.0,15.0,15.0,10.0,10.0,15.0,25.0,25.0,25.0,15.0,20.0,25.0,5.0,10.0,6.0,10.0,8.0,10.0,8.0,7.0,10.0,9.0,10.0,9.0,,,,,,,,,,,6.428571428571429,7.357142857142857,6.571428571428571,7.142857142857143,6.0,28.357142857142858,6.5,1,4,5.857142857142857,7.071428571428571,7.928571428571429,4.642857142857143,6.857142857142857,5.428571428571429,1.0,1,0.0,0.0
303,305,F,29.0,12,math education,Asian,6.0,9.0,Fun,4.0,1.0,teaching/education,8.0,2.0,7.0,10.0,7.0,7.0,8.0,2.0,7.0,8.0,7.0,8.0,9.0,7.0,7.0,9.0,8.0,,10.0,47.0,16.0,12.0,3.0,30.0,16.0,14.0,20.0,8.0,12.0,35.0,15.0,8.0,20.0,2.0,20.0,7.0,9.0,9.0,8.0,5.0,7.0,9.0,9.0,8.0,7.0,,,,,,,,,,,6.571428571428571,7.214285714285714,7.214285714285714,5.928571428571429,6.214285714285714,28.357142857142858,5.928571428571429,2,3,6.5,7.142857142857143,7.857142857142857,6.571428571428571,6.642857142857143,6.857142857142857,5.0,7,0.0,1.0
304,306,F,22.0,12,TESOL,Asian,6.0,2.0,Fun,6.0,3.0,professor in college,6.0,6.0,9.0,8.0,5.0,5.0,7.0,4.0,5.0,6.0,9.0,9.0,9.0,5.0,5.0,9.0,5.0,,16.0,20.0,19.0,16.0,18.0,22.0,13.0,18.0,18.0,16.0,13.0,22.0,13.0,18.0,18.0,16.0,13.0,6.0,9.0,8.0,8.0,8.0,6.0,8.0,9.0,8.0,7.0,,,,,,,,,,,6.928571428571429,7.571428571428571,6.642857142857143,6.071428571428571,5.384615384615385,28.357142857142858,6.153846153846154,1,2,6.857142857142857,7.428571428571429,7.428571428571429,7.0,6.928571428571429,6.714285714285714,2.0,7,1.0,1.0
305,307,F,27.0,12,Elementary Education,Asian,1.0,3.0,Say I did it,7.0,2.0,Teacher,10.0,8.0,10.0,9.0,8.0,9.0,10.0,1.0,5.0,10.0,7.0,10.0,10.0,8.0,10.0,9.0,3.0,,10.0,20.0,20.0,15.0,20.0,15.0,20.0,20.0,15.0,20.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,5.0,8.0,8.0,7.0,8.0,5.0,8.0,8.0,7.0,8.0,,,,,,,,,,,7.214285714285714,7.928571428571429,7.857142857142857,7.142857142857143,6.3076923076923075,28.357142857142858,7.214285714285714,3,9,5.153846153846154,7.142857142857143,7.178571428571429,6.428571428571429,6.142857142857143,6.357142857142857,2.0,5,0.0,0.0
306,308,M,27.0,12,Cognitive Studies in Education,Asian,7.0,3.0,Fun,7.0,2.0,Academia; Research; Teaching,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,3.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,,17.0,19.0,18.0,17.0,11.0,19.0,17.0,18.0,19.0,11.0,16.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,10.0,8.0,8.0,7.0,7.0,10.0,8.0,8.0,7.0,,,,,,,,,,,5.071428571428571,8.142857142857142,8.428571428571429,5.846153846153846,7.714285714285714,27.428571428571427,6.357142857142857,1,1,7.928571428571429,8.857142857142858,8.642857142857142,7.714285714285714,6.5,8.5,2.0,7,,
307,309,M,32.0,12,education,Caucasian,5.0,9.0,Get a date,3.0,2.0,curriculum developer,6.0,4.0,4.0,9.0,8.0,10.0,8.0,5.0,7.0,9.0,6.0,8.0,9.0,8.0,10.0,4.0,4.0,,20.0,20.0,20.0,20.0,10.0,30.0,10.0,15.0,25.0,10.0,10.0,30.0,10.0,15.0,25.0,10.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,9.0,,,,,,,,,,,6.642857142857143,8.285714285714286,8.384615384615385,7.214285714285714,7.0,27.428571428571427,6.785714285714286,2,7,8.785714285714286,9.571428571428571,8.642857142857142,8.642857142857142,8.545454545454545,7.357142857142857,5.0,4,0.0,0.0
308,310,M,25.0,12,Computer Science,Caucasian,7.0,8.0,Fun,3.0,1.0,?,2.0,2.0,3.0,7.0,6.0,6.0,3.0,8.0,5.0,9.0,8.0,7.0,9.0,5.0,6.0,5.0,3.0,,24.0,15.0,20.0,20.0,8.0,25.0,10.0,18.0,22.0,13.0,12.0,21.0,17.0,16.0,15.0,13.0,18.0,7.0,6.0,7.0,8.0,4.0,7.0,5.0,9.0,7.0,5.0,,,,,,,,,,,6.071428571428571,6.923076923076923,7.538461538461538,4.923076923076923,5.785714285714286,27.428571428571427,4.714285714285714,1,3,7.0,7.214285714285714,6.928571428571429,6.428571428571429,6.428571428571429,6.071428571428571,2.0,4,,
309,311,M,29.0,12,Finance/Economics,Asian,1.0,1.0,Meet people,6.0,1.0,Entrepreneur,10.0,8.0,9.0,10.0,7.0,6.0,8.0,9.0,1.0,7.0,4.0,6.0,8.0,10.0,10.0,9.0,8.0,,50.0,20.0,10.0,10.0,5.0,50.0,10.0,20.0,5.0,5.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,9.0,9.0,9.0,10.0,3.0,9.0,5.0,5.0,10.0,2.0,,,,,,,,,,,7.392857142857143,7.928571428571429,7.916666666666667,7.142857142857143,7.5,27.428571428571427,6.857142857142857,1,8,5.5,5.571428571428571,5.642857142857143,5.071428571428571,5.714285714285714,6.285714285714286,4.0,4,,
310,312,M,23.0,12,Museum Anthropology,Caucasian,3.0,1.0,Meet people,4.0,2.0,Museum Work (Curation?),7.0,7.0,5.0,7.0,9.0,8.0,10.0,5.0,3.0,8.0,5.0,6.0,9.0,7.0,8.0,2.0,1.0,,25.0,5.0,30.0,15.0,5.0,50.0,0.0,10.0,25.0,0.0,15.0,25.0,20.0,10.0,20.0,15.0,10.0,8.0,7.0,9.0,7.0,9.0,9.0,10.0,8.0,5.0,9.0,,,,,,,,,,,6.785714285714286,7.857142857142857,7.892857142857143,6.928571428571429,7.357142857142857,27.428571428571427,7.0,1,7,5.928571428571429,6.428571428571429,6.785714285714286,5.428571428571429,5.785714285714286,5.357142857142857,2.0,3,,
311,313,M,27.0,12,Business,Caucasian,2.0,3.0,Fun,4.0,1.0,Music Industry,9.0,8.0,6.0,8.0,6.0,3.0,6.0,1.0,9.0,6.0,3.0,2.0,7.0,8.0,10.0,5.0,1.0,,19.0,13.0,18.0,18.0,10.0,25.0,10.0,15.0,20.0,15.0,15.0,20.0,15.0,15.0,15.0,25.0,10.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,6.0,,,,,,,,,,,7.0,8.214285714285714,8.25,7.769230769230769,7.166666666666667,27.428571428571427,7.642857142857143,1,9,4.785714285714286,6.785714285714286,7.214285714285714,6.714285714285714,7.0,6.214285714285714,2.0,2,1.0,0.0
312,314,M,32.0,12,Political Science,Other,3.0,1.0,Meet people,6.0,2.0,academic or consulting,9.0,2.0,7.0,8.0,6.0,4.0,2.0,2.0,2.0,6.0,7.0,3.0,7.0,6.0,8.0,8.0,8.0,,20.0,10.0,30.0,20.0,10.0,25.0,10.0,10.0,25.0,10.0,20.0,15.0,25.0,10.0,20.0,15.0,15.0,8.0,8.0,9.0,8.0,7.0,7.0,6.0,9.0,5.0,5.0,,,,,,,,,,,5.571428571428571,7.714285714285714,8.285714285714286,5.857142857142857,7.571428571428571,27.428571428571427,5.785714285714286,0,1,5.857142857142857,6.428571428571429,6.071428571428571,5.928571428571429,5.642857142857143,5.857142857142857,2.0,6,0.0,0.0
313,315,M,27.0,12,Environmental Engineering,Caucasian,1.0,4.0,Get a date,5.0,3.0,Academia or UN,8.0,2.0,2.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,1.0,8.0,9.0,7.0,7.0,2.0,2.0,,6.67,19.05,42.86,9.52,14.29,20.0,15.0,15.0,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,10.0,6.0,10.0,8.0,6.0,7.0,5.0,10.0,8.0,6.0,5.0,,,,,,,,,,,6.392857142857143,7.428571428571429,8.142857142857142,6.3076923076923075,7.230769230769231,27.428571428571427,6.642857142857143,2,5,6.928571428571429,8.0,8.428571428571429,6.857142857142857,4.928571428571429,6.642857142857143,1.0,7,,
314,316,M,25.0,12,Business,Caucasian,3.0,3.0,Meet people,4.0,1.0,Investment banking,9.0,3.0,5.0,7.0,6.0,6.0,6.0,4.0,6.0,9.0,5.0,4.0,4.0,7.0,9.0,4.0,1.0,,25.0,20.0,15.0,25.0,10.0,30.0,10.0,15.0,30.0,10.0,5.0,25.0,10.0,20.0,25.0,15.0,5.0,6.0,8.0,8.0,7.0,9.0,5.0,8.0,9.0,7.0,9.0,,,,,,,,,,,7.538461538461538,7.571428571428571,8.0,8.142857142857142,8.428571428571429,27.428571428571427,7.357142857142857,6,9,5.857142857142857,6.642857142857143,6.714285714285714,6.285714285714286,5.5,5.0,4.0,7,0.0,2.0
315,317,M,30.0,12,MBA,Caucasian,1.0,1.0,Fun,4.0,1.0,International Development banker,8.0,1.0,5.0,10.0,6.0,10.0,4.0,3.0,8.0,4.0,1.0,10.0,10.0,8.0,9.0,1.0,1.0,,50.0,0.0,20.0,20.0,0.0,40.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,30.0,30.0,0.0,20.0,7.0,3.0,8.0,8.0,5.0,7.0,3.0,8.0,8.0,3.0,,,,,,,,,,,7.928571428571429,7.714285714285714,7.916666666666667,8.615384615384615,7.615384615384615,27.428571428571427,7.714285714285714,3,9,5.928571428571429,7.642857142857143,8.0,6.428571428571429,6.5,6.214285714285714,5.0,6,0.0,1.0
316,318,M,29.0,12,Business Administration,Other,1.0,1.0,Meet people,6.0,1.0,Corporate Finance. Asset Management/ Hedge Funds,8.0,4.0,8.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,5.0,8.0,7.0,6.0,,40.0,30.0,10.0,8.0,2.0,5.0,35.0,35.0,10.0,15.0,0.0,20.0,20.0,10.0,25.0,15.0,10.0,6.0,10.0,10.0,6.0,10.0,2.0,10.0,8.0,3.0,6.0,,,,,,,,,,,5.071428571428571,7.571428571428571,7.571428571428571,6.0,7.538461538461538,27.428571428571427,5.928571428571429,0,1,5.428571428571429,5.928571428571429,6.214285714285714,5.642857142857143,5.357142857142857,6.230769230769231,0.0,7,,
